,Victim Sex,Perpetrator Sex,Victim Age,Perpetrator Age,Victim Count,Perpetrator Count,City,State,Year,Month,Incident,Relationship,Weapon,Crime Type,Crime Solved
0,Male,Male,14,15,0,0,Anchorage,Alaska,1980,January,1,Acquaintance,Blunt Object,Murder or Manslaughter,Yes
1,Male,Male,43,42,0,0,Anchorage,Alaska,1980,March,1,Acquaintance,Strangulation,Murder or Manslaughter,Yes
2,Female,Unknown,30,0,0,0,Anchorage,Alaska,1980,March,2,Unknown,Unknown,Murder or Manslaughter,No
3,Male,Male,43,42,0,0,Anchorage,Alaska,1980,April,1,Acquaintance,Strangulation,Murder or Manslaughter,Yes
4,Female,Unknown,30,0,0,1,Anchorage,Alaska,1980,April,2,Unknown,Unknown,Murder or Manslaughter,No
5,Male,Male,30,36,0,0,Anchorage,Alaska,1980,May,1,Acquaintance,Rifle,Murder or Manslaughter,Yes
6,Female,Male,42,27,0,0,Anchorage,Alaska,1980,May,2,Wife,Knife,Murder or Manslaughter,Yes
7,Female,Male,99,35,0,0,Anchorage,Alaska,1980,June,1,Wife,Knife,Murder or Manslaughter,Yes
8,Male,Unknown,32,0,0,0,Anchorage,Alaska,1980,June,2,Unknown,Firearm,Murder or Manslaughter,No
9,Male,Male,38,40,0,1,Anchorage,Alaska,1980,June,3,Unknown,Firearm,Murder or Manslaughter,Yes
10,Male,Unknown,36,0,0,1,Anchorage,Alaska,1980,July,1,Unknown,Unknown,Murder or Manslaughter,No
11,Male,Male,20,49,0,0,Anchorage,Alaska,1980,July,2,Stranger,Shotgun,Murder or Manslaughter,Yes
12,Female,Male,36,39,0,0,Anchorage,Alaska,1980,July,3,Girlfriend,Blunt Object,Murder or Manslaughter,Yes
13,Male,Male,20,49,0,0,Anchorage,Alaska,1980,August,1,Unknown,Fall,Murder or Manslaughter,Yes
14,Male,Unknown,48,0,0,0,Anchorage,Alaska,1980,August,2,Unknown,Handgun,Murder or Manslaughter,No
15,Male,Female,31,29,0,0,Anchorage,Alaska,1980,August,3,Ex-Husband,Handgun,Murder or Manslaughter,Yes
16,Male,Male,16,19,0,0,Anchorage,Alaska,1980,December,1,Acquaintance,Knife,Murder or Manslaughter,Yes
17,Male,Male,33,23,0,1,Juneau,Alaska,1980,November,1,Brother,Blunt Object,Murder or Manslaughter,Yes
18,Male,Male,27,33,0,0,Nome,Alaska,1980,June,1,Acquaintance,Handgun,Murder or Manslaughter,Yes
19,Male,Male,33,35,0,0,Bethel,Alaska,1980,February,1,Brother,Handgun,Murder or Manslaughter,Yes
20,Female,Male,31,29,2,0,North Slope,Alaska,1980,August,1,Stepdaughter,Rifle,Murder or Manslaughter,Yes
21,Male,Male,21,29,2,0,North Slope,Alaska,1980,August,1,Stepdaughter,Rifle,Murder or Manslaughter,Yes
22,Male,Male,60,26,0,0,North Slope,Alaska,1980,June,1,Acquaintance,Knife,Murder or Manslaughter,Yes
23,Female,Male,40,41,0,0,North Slope,Alaska,1980,July,1,Wife,Blunt Object,Manslaughter by Negligence,Yes
24,Female,Male,16,29,2,0,North Slope,Alaska,1980,August,1,Stepdaughter,Rifle,Murder or Manslaughter,Yes
25,Female,Male,36,42,0,0,Kenai Peninsula,Alaska,1980,February,1,Wife,Handgun,Murder or Manslaughter,Yes
26,Male,Unknown,27,0,0,0,Juneau,Alaska,1980,February,1,Unknown,Handgun,Murder or Manslaughter,No
27,Male,Female,31,28,0,0,Juneau,Alaska,1980,February,2,Husband,Handgun,Murder or Manslaughter,Yes
